,title,imageUrl,description,dateCreated,duration,reviewBody,movieUrl,starRating,actors,directors
250,The Shawshank Redemption (1994) - IMDb,https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_.jpg,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",2018-06-15,2H22M,"I&apos;ve lost count of the number of times I have seen this movie, but it is more than 20. It has to be one of the best movies ever made. It made me take notice Morgan Freeman and Tim Robbins like I had never noticed any actors before.

I have from a very young age been a huge fan of anything Stephen King writes and had already read the short story that this movie is based on years prior to seeing this movie.

Not everything Stephen King has written that gets turned into a movie comes out well, but this is as close to perfection as it gets and has everything you could ever want in a movie.

Something that is outstanding is the fact that it has no real action, no special effects and no gimmicks. 99% of the movie is just men in a prison uniforms talking. Yet it absolutely hooks you almost from the beginning and has you glued to the screen to the end.

For me what really makes this film one of the best is the message of eternal hope it conveys throughout. The never ever give up hope attitude of the main character so well conveyed by Tim Robbins. The ending is just spine tingling every time I see it, no matter how many times I have seen it.

Brilliant, brilliant movie and a must see for everyone.",https://www.imdb.com/title/tt0111161/,9.3,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",['Frank Darabont']
251,The Godfather (1972) - IMDb,https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_.jpg,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,2018-02-11,2H55M,"This isn&apos;t just a beautifully crafted gangster film. Or an outstanding family portrait, for that matter. An amazing period piece. A character study. A lesson in filmmaking and an inspiration to generations of actors, directors, screenwriters and producers. For me, this is more: this is the definitive film. 10 stars out of 10.

Favorite films: IMDb.com/list/mkjOKvqlSBs/

Lesser-Known Masterpieces: imdb.com/list/ls070242495/",https://www.imdb.com/title/tt0068646/,9.2,"['Marlon Brando', 'Al Pacino', 'James Caan']",['Francis Ford Coppola']
252,The Dark Knight (2008) - IMDb,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",2021-02-17,2H32M,"This movie is a work of art. The finest sequel ever made. I don&apos;t think we will see another movie like this for a long time. Heath Ledger&apos;s Joker is the best movie charachter I have ever seen by far. Avengers Endgame is great, but The Dark Knight is much better. The best Batman ever! The best Joker ever! The best DC movie ever! The best superhero movie ever! Ando for me, the best movie ever!",https://www.imdb.com/title/tt0468569/,9.0,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",['Christopher Nolan']
253,The Godfather Part II (1974) - IMDb,https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_.jpg,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",2005-05-10,3H22M,"Series note: It is almost unthinkable to watch this film without having seen The Godfather (1972) first. This is a direct continuation of that story.

The good news is that The Godfather Part II has many amazing qualities, including fantastic performances from a superb cast, sublime, unprecedented visuals that no one else has been able to capture since, and very engaging stories. The bad news is that this should have easily been a 10, but overall, it is so sprawling and unfocused that I can&apos;t possibly give it more than a 9, which it only earns because the assets transcend what&apos;s basically a mess overall. Because it should have been a 10, and most other reviews will tell you about the positive points at length, I may pick on more things in my review than you would think I would for a 9, but rest assured that even with the flaws, The Godfather Part II is still essential viewing.

Director/co-writer Francis Ford Coppola cleverly begins the film with parallels to The Godfather. We see Michael Corleone (Al Pacino) &quot;in the role&quot; of his father, Vito (Marlon Brando), from the first film, accepting prostrating guests while a party is going on outside. Like the first film, the party consumes a lot of time while we get to know some of the principal characters. Perhaps during this segment, perhaps a bit after, we realize that maybe the beginning wasn&apos;t so clever after all, because the structure of The Godfather Part II parallels The Godfather from a broad perspective, as if Coppola and co-writer Mario Puzo used the first film as something of a template to create this one.

After the party is over, there is an attempted hit on Michael, and we quickly learn that not everything is rosy in the Corleone&apos;s mafia world. Michael believes that someone on the &quot;inside&quot; was involved with the hit. This launches a complicated sequence of events that has Michael, who is now living in Nevada, traveling to Miami, Cuba, New York, and so on. He accuses different people of involvement in the attempted hit depending on whom he is talking to. This may have all been part of a grand scheme to set up the responsible parties, but one of the flaws of the film is that Coppola doesn&apos;t convey Michael&apos;s underlying thoughts about this very well, not even later, and not through his actions. Rather than feeling like a clever set-up, it starts to feel like slightly muddled writing.

During the middle section of the film, which goes on for hours, we also have a hint of a problem that plagued The Godfather--a bloated cast. There are bit too many characters who aren&apos;t well enough presented or explained. You may need to keep a scorecard.

Coppola and Puzo also treat us to many extended &quot;flashback&quot; segments, and I mean way back, to Vito as a boy and young man, played by Robert De Niro. For my money, these were the best scenes of the film, although maybe that&apos;s a bit of my bias creeping in, as I&apos;m a huge De Niro fan.

But let&apos;s talk about the main plague of the film--sprawl. This is maybe first evident in the flashbacks. As good as they are, they go on far too long, and happen far too frequently, to sustain the momentum of either the Michael story or the Vito-as-a-youngster story. It begins to feel like we&apos;re toggling back and forth between two films, which is the track that should have been taken. The prequel, at least, would have been a solid 10.

There&apos;s also a lot of sprawl in the Michael Corleone segments. Coppola appears to have been suffering from what I&apos;d now call &quot;J.K. Rowling Syndrome&quot;. That happens when an artist becomes successful enough that they can fire or ignore their editor(s). Instead of taking good advice about where to trim fat, the artist decides to just leave much of it in, and they now have the clout to override any dissenting and more sensible opinions. The Michael Corleone story has a lot of fat, including much of the Cuba material (for example, sitting around the table with the President, laboriously passing around a solid gold telephone), the Senate hearings (which go on far too long to make and provide the dramatic points), and so on.

The film begins to feel more like a couple seasons of a television show that Coppola tried to cram into a 3 and a half hour film, or worse, a collection of deleted scenes. The scenes, except for the fat that needed to be trimmed, are excellent in isolation. But by the time the climax rolls around, the whole has more of an arbitrary feeling--this is especially clear in the dénouement, which seems to just end.

I&apos;ve barely left myself room to talk about the good points. The first one, which most people mention, is the acting. There isn&apos;t a bad performance in the film, but Pacino, De Niro, and some relatively minor characters, like those played by Diane Keaton, Talia Shire and John Cazale, really stand out.

The second outstanding point, similar to the first film, is the beautiful visuals. Although all of the cinematography and production design is great, what really impressed me were some of the darkly lit scenes. Characters and features of sets emerge from pitch-blackness, and everything is rich, deep shades of burgundy, brown, and orange. Amazingly, nothing gets lost in these scenes. It must be incredibly difficult to achieve without making the shots too dark, because I can&apos;t remember another film since that has been able to capture the same look. The flashback scenes are also in similar, but lighter, colors, creating an appropriate sepia-tone feel.

Although the broad perspective problems are unfortunate, a closer focus on most segments of the film provides exemplary artistry. Given that, and the film&apos;s importance culturally, The Godfather Part II is a must-see.",https://www.imdb.com/title/tt0071562/,9.0,"['Al Pacino', 'Robert De Niro', 'Robert Duvall']",['Francis Ford Coppola']
254,12 Angry Men (1957) - IMDb,https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_.jpg,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,2002-09-18,1H36M,"This film is superb, in fact as Shakespeare once said &quot;Its the bees&apos; knees&quot;. The film captivates the audience from the beginning.  Each of the twelve jurors are introduced to us as they are introduced to themselves. The characters are well draw out and individual, each with his own personality.

The tension of the characters draws the audience in from the start.  We imagine that the case is open and shut, 11 me saying guilty and 1 not.  We feel the discomfort of Henry Fonda as the other characters belittle and mock how he can see any reasonable doubt in the case.  But we also share his victories and the enthusiasm as he proceeds to refute or add doubt to the arguments for guilty and are captivated and draw in as other jurors begin to see doubt in the proceedings.

The audience can also see the arguments for guilty and wonder if Fonda&apos;s character is correct in saying that he doubts. Yet they also feel the shame of the characters as he disproves that a previously sound theory is iron tight, joining his side as members of the jury do.

On top of this they are wonderfully woven in human elements such as the misconceptions that influence people and the growing tension between different characters.  This is brought to life even more by the amazing performances, Fonda, Lee J Cobb and Joseph Sweeney are of particular note.

I started watching this film on a bored relaxed laying about day but by the end i was on the edge of the seat with my hands on my knees feeling more tense than a politician on results day.

How a film should be made.  Modern directors take note(thats ur telling off for the day) 10/10",https://www.imdb.com/title/tt0050083/,9.0,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']",['Sidney Lumet']
255,The Lord of the Rings: The Return of the King (2003) - IMDb,https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_.jpg,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2020-11-02,3H21M,The greatest tragedy of the human race is that they will never make a better movie than Return of the King.,https://www.imdb.com/title/tt0167260/,9.0,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']",['Peter Jackson']
256,Schindler's List (1993) - IMDb,https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_.jpg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",2013-09-09,3H15M,"Schindler&apos;s List is undoubtedly the best Holocaust film ever made. There just isn&apos;t anything like this film. Various other films have tried to show the true horrors of the Holocaust, but none of them succeeded the way that Schindler&apos;s List did. Schindler&apos;s List is a difficult film to watch. When you see the true atrocities of the Holocaust, your jaw drops. When you see the pain that all of the innocent people were going through, the only thing you can do is cry. The true goal of all Holocaust films is to make you feel sorrowful, and Schindler&apos;s List did that to me. If you want to see the best depiction of the Holocaust, make your way towards Schindler&apos;s List. Me n my kids cried during the pit scene.",https://www.imdb.com/title/tt0108052/,9.0,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']",['Steven Spielberg']
257,Pulp Fiction (1994) - IMDb,https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_.jpg,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",2020-11-12,2H34M,"This is Tarantino&apos;s masterpiece, there&apos;s no other way to say it. It has arguably one of the smartest scripts I&apos;ve ever seen. The story, which is non-linear, is so well constructed it takes several viewings to grasp it all. The movie doesn&apos;t seem to be about any spesific thing, but there is a subtle hint of redemption as a central theme. The characters and preformances in this movie are practically perfect. This is still one of the best performances I&apos;ve seen from Sam Jackson, and it&apos;s an outrage he didn&apos;t win an Oscar. Each scene has its own unique flavour and charm, every segment has its own arc while also tying into the main plot. The comedy is great, the serious moments are great, every word of dialogue is exciting despite seemingly not having any reason to exist. This movie is just such a great time, and I recommend it to everyone who loves movies. I cannot think of a single genuine flaw with it, and it will remain one of my favorite movies for a long time.",https://www.imdb.com/title/tt0110912/,8.9,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']",['Quentin Tarantino']
258,The Lord of the Rings: The Fellowship of the Ring (2001) - IMDb,https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_.jpg,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2002-02-17,2H58M,"When I first saw the trailers for &quot;The Fellowship of the Ring,&quot; I had never had any interest in reading the lengthy tome of a trilogy.  But seeing the possibility of the movie, I immediately went out and read the whole thing, insisted on receiving it for Christmas, and enjoyed every minute of it. The feelings I had while reading the series were heightened seeing it come to life in the stunning movie.  I thought it was a fabulous work of art.

I thought that having Galadriel tell what was basically the prologue of the book was a good idea, as it helped those who had never read the story.  It also immediately involved me in the film; I felt I had an insider&apos;s advantage on the rest of the audience.  Cate Blanchett has a wonderfully deep and emotional voice; the way she speaks Galadriel is almost as effective as her appearence as the Elven queen.  Also, showing the last battle of Isildur and Sauron helped unfog a part of the novel that had me a trifle confused.

The entire movie is full of beautiful sets and landscapes.  The Shire was almost exactly as I&apos;d pictured it.  Hobbiton is cute and very whimsical. Mordor was frighteningly well done, extremely real.  Rivendell had a little bit of a European-tourist-trap look, but was beautiful all the same.  The entire backdrop of the movie (the mountains, Moria, Isengard) was perfect; it&apos;s amazing that &quot;Fellowship&quot; was filmed in one country.

Now to the characters.  All I can say is, &quot;Wow.&quot;  I was a little apprehensive about the casting at first; I&apos;d created such real images of the characters in my imagination, I almost didn&apos;t want them spoiled for me. However, I was not disapointed in the least.  Elijah Wood, though not one of my favorite actors, was believable.  You could tell from the first glimpse that Frodo was special; Wood&apos;s pale, sharp features contrast sharply with the more ruddy, robust look of the rest of the hobbits.  He also cries like a little girl.  But his weaknesses and strengths make his Frodo an apt choice for the starring character.  The rest of the Hobbiton gang was well-chosen, too.  Sean Astin (&quot;Rudy&quot; forever to me) was loyal and a bit bumbling, just like the Gamgee of Tolkien&apos;s telling.  Pippin and Merry were congenial, slow-witted lads, but very brave nonetheless.  Viggo Mortensen is outstanding.  He has the ability to make Aragorn both menacing and kind. He physically represents Strider to the nines with his strength and virility; the action sequences of his are very passionate and exciting.  Some may have complained about Arwen&apos;s character being slightly expanded; I thought it a good change.  In the books, you have to read the whole trilogy and then rifle through the appendix in &quot;The Return of the King&quot; to learn the history between Aragorn and Arwen.  Liv Tyler is ethereal and breathtaking, but at the same time displays the courage and magic that make the Elves the beings they are.  Speaking of Elves, I can&apos;t help but gush over the handsome and ever-so-talented Orlando Bloom as noble Legolas.  Bloom captured the archer&apos;s very movements; he treads lightly and fights fearlessly. Legolas&apos;s bowmanship was amazing; he looked so natural loosing his arrows machine-gun style.  He was my favorite character in the books, and his essence transcends the film.  Gimli was pompous and brave, as well.  He is well-represented in the movie.  Boromir was hopelessly lost, but at the same time valiant and strong.  Sean Bean gave an emotionally-charged performance as the tortured warrior.  Hugo Weaving was very good as Elrond.  He was noble and cold at the same time.  And Gandalf.  What more can be said of Ian McKellan&apos;s showcase portrayal of the wizard?  He was magnificent.  He could be Gandalf, the kind old conjurer who set off pyrotechnics for hobbit-children.  Then he could turn around and stun the life out of you with Gandalf the powerful wizard, facing the balrog with defiance and an iron will.  His Oscar nomination is well-deserved.

Peter Jackson is a brave soul to take on a project that could have backfired in so many places.  Instead of bringing us uninspired kitsch, he serves up raw emotion, graphic battles of good and evil, chilling and wonderful characters, and enough special effects (realistic, mind you) to make John Cameron&apos;s mouth water.  Knowing that &quot;The Two Towers&quot; was my favorite of the books, I eagerly anticipate the second helping of &quot;The Lord of the Rings.&quot;",https://www.imdb.com/title/tt0120737/,8.9,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']",['Peter Jackson']
259,"The Good, the Bad and the Ugly (1966) - IMDb",https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_.jpg,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,2006-06-29,2H58M,"Gosh, The Good, the Bad, and the Ugly, I finally saw this film! Who hasn&apos;t heard of it? First off, may I say that Clint Eastwood... what a hottie in his day! :D Sorry, had to get that off my chest. Sergio Leone from what I understood was a huge western film fanatic and in the 60&apos;s pretty much most folks had moved onto other genre&apos;s. I mean, I would agree that most western&apos;s are pretty much the same and stereotypical.

Sergio however took a story and added some elements to it such as comedy, drama, and war. The story flows so well and just compliments all of it&apos;s characters. By far my favorite character was The Good, played by Clint. He is a bounty hunter who captures The Ugly numerous times just to free him before every hanging and splits the winnings with him. When they learn of a coffin in the desert that has $200,000, they go for it. Of course we have the Bad who is a ruthless killer who also wants in on the doe.

The Good, The Bad, and The Ugly is a terrific film and I thank all the IMDb users for their useful comments and that pushed me to finally rent this western classic. Let&apos;s give it up for Sergio! 

10/10",https://www.imdb.com/title/tt0060196/,8.8,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",['Sergio Leone']
